,similarity,SSE,silhouette,nm_info
0,99.86666666666667,8501.781,0.87,0.986
1,99.86666666666667,8499.79,0.869,0.984
2,99.73333333333333,8495.485,0.868,0.992
3,99.66666666666667,8496.993,0.865,0.975
4,99.6,8497.907,0.866,0.978
5,99.53333333333333,8497.589,0.865,0.975
6,99.26666666666667,8494.621,0.86,0.973
7,99.46666666666667,8495.926,0.863,0.973
8,99.73333333333333,8499.061,0.867,0.978
9,99.6,8495.545,0.865,0.986
